번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
96,특정 범죄 가중 처벌등에 관한 법률 위반(도주 차량)(인정된 죄명:교통사고 처리 특례법 위반)·도로교통법 위반(사고후 미조치)·도로교통법 위반(음주 운전),2010도16027,2011. 3. 10.,도로교통법,"제54조, 제148조","[1] 사고운전자가 피해자가 사상을 당한 사실을 인식하고도 구호조치를 취하지 않은 채 사고현장을 이탈하면서 피해자에게 자신의 신원을 확인할 수 있는 자료를 제공하여 준 경우,           특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항의 ‘도주한 때’에 해당하는지 여부(적극)        
[2]           구 도로교통법 제54조 제1항에서 정한 ‘교통사고 후 운전자 등이 즉시 정차하여 사상자를 구호하는 등 필요한 조치를 하여야 할 의무’의 의미        
[3] 혈중 알코올 농도 0.197%의 음주상태에서 차량을 운전하다가 교통사고를 일으켜 피해자에게 상해를 입힌 운전자가, 피해자 병원 이송과 경찰관 사고현장 도착 전에 견인차량 기사를 통해 피해자에게 신분증을 교부한 후 피해자의 동의 없이 일방적으로 현장을 이탈하였다가 약 20분 후 되돌아온 사안에서, 위 운전자의 행위가           구 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항의 ‘피해자를 구호하는 등 조치를 취하지 아니하고 도주한 때’에 해당한다고 한 사례"
98,도로교통법위반(사고후미조치),2017도9689,2017. 9. 7.,도로교통법,제54조,"차의 운전자가 업무상과실 또는 중과실에 의하여 재물을 손괴하고 도로교통법 제54조 제1항에서 정한 필요한 조치를 취하지 아니한 경우, 같은 법 제151조의 죄 외에 제148조의 죄가 성립하는지 여부(적극) 및 이 경우 죄수 관계(=실체적 경합범) / 도로교통법 제148조의 죄로 공소제기 되었으나 운전자 등에게 같은 법 제54조 제1항에서 정한 조치를 취할 필요성이 인정되지 아니하는 경우, 같은 법 제151조의 죄로도 공소제기된 것으로 보아 이에 대해서까지 심리·판단하여야 하는지 여부(소극)"
108,특정범죄가중처벌 등에 관한 법률 위반(도주차량)·도로교통법 위반(음주운전)·도로교통법 위반(사고후 미조치),2012도1474,2012. 7. 12.,도로교통법,제54조,특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항에서 정한 ‘피해자를 구호하는 등           도로교통법 제54조 제1항의 규정에 의한 조치를 취하지 아니하고 도주한 때’의 의미 및 이에 해당하는지 판단하는 기준
111,도로교통법위반(음주운전)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),2018도11378,2018. 11. 15.,도로교통법,"제44조, 제148조의2","
  도로교통법 제148조의2 제1항 제1호의 취지 및 위 조항 중 ‘제44조 제1항을 2회 이상 위반한 사람’의 의미(=2회 이상 음주운전 금지규정을 위반하여 음주운전을 하였던 사실이 인정되는 사람) / 위 조항을 적용할 때 음주운전 금지규정 위반자의 위반전력 유무와 그 횟수를 심리·판단하는 방법 및 그에 대한 증명책임 소재(=검사)"
112,도로교통법위반(음주측정거부)·도로교통법위반(무면허운전),2016도16121,2017. 6. 8.,도로교통법,"제44조, 제148조의2",경찰공무원이 운전자의 음주 여부나 주취 정도를 확인하기 위하여 음주측정기에 의한 측정의 사전절차로서 음주감지기에 의한 시험을 요구할 수 있는지 여부(적극) / 구 도로교통법 제148조의2 제1항 제2호에서 말하는 ‘경찰공무원의 측정에 응하지 아니한 경우’의 의미와 판단 기준 / 음주감지기에 의한 시험을 거부한 행위를 음주측정기에 의한 측정에 응할 의사가 없음을 객관적으로 명백하게 나타낸 것으로 볼 수 있는 경우
113,"특정범죄가중처벌에등에관한법률위반(도주차량),도로교통법위반",93도49,1993. 5. 11.,도로교통법,"제44조, 제106조, 제113조",차의 운전자가 업무상 과실로 사람을 상해에 이르게 함과 동시에 물건을 손괴하고 도주한 경우 특정범죄가중처벌등에관한법률위반죄 및           도로교통법 제106조 소정의 죄의 관계(＝상상적 경합범) 및 위 2개의 죄와           같은 법 제113조 제1호 소정의           제44조 위반죄의 죄수관계(＝실체적 경합범)
114,손해배상(자),99다31704,2000. 2. 25.,도로교통법,"제2조, 제4조, 제22조, 제24조, 제27조의2","[1] 도로교통법 제27조의2의 장소가 아닌 교통정리가 행하여지고 있지 않는 교차로 부근의 횡단보도 앞에 같은법시행규칙 제3조 제2항 [별표 1]에 의한 정지선표시(노면표지 일련번호 706)가 설치되어 있는 경우, 교차로에 진입하는 운전자에게 그 정지선에서 일지정지할 의무가 있는지 여부(소극)
[2] 도로교통법 제27조의2 소정의 일시정지의 의미"
116,특정범죄가중처벌등에관한법률위반(위험운전치사상)·도로교통법위반(음주운전),2008도7143,2008. 11. 13.,도로교통법,"제44조, 제150조",특정범죄가중처벌 등에 관한 법률상 ‘위험운전치사상죄’와 도로교통법상 ‘음주운전죄’의 관계(=실체적 경합)
117,집회및시위에관한법률위반·도로교통법위반,2006도5993,2007. 7. 12.,도로교통법,"제42조의2, 제46조, 제110조, 제153조","[1] 구 도로교통법 제42조의2에서 금지하고 있는 ‘공동위험행위’의 의미 및 이를 금지하는 취지
[2] 2대의 자동차 운전자들이 정당한 사유 없이 고속도로에서 시속 약 90㎞의 속도로 진행하던 차량행렬의 앞으로 끼어들어 시속 약 20㎞ 미만의 저속으로 진행함으로써 뒤따라오는 차량들로 하여금 급격히 속도를 떨어뜨리게 한 행위가 구 도로교통법 제42조의2에서 금지하는 ‘공동위험행위’에 해당한다고 본 사례"
122,"특정범죄가중처벌등에관한법률위반(도주차량),도로교통법위반",97노2468,1998. 9. 10.,도로교통법,"제50조, 제106조","[1] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 '피해자를 구호하는 등 도로교통법 제50조 제1항의 규정에 의한 조치를 취하지 아니하고 도주한 때' 및 도로교통법 제106조 소정의 '제50조 제1항의 규정에 의한 교통사고 발생시의 조치를 취하지 않은'의 의미
  [2] 특정범죄가중처벌등에관한법률 제5조의3 제1항 소정의 도주 및 도로교통법 제50조 제1항 소정의 조치의무 위반에 해당되지 않는다고 본 사례"
129,도로교통법위반(음주운전)·도로교통법위반(무면허운전),2022도8806,2022. 10. 27.,도로교통법,"제43조, 제152조, 제154조","[1] 무면허운전으로 인한 도로교통법 위반죄는 운전한 날마다 무면허운전으로 인한 도로교통법 위반의 1죄가 성립하는지 여부(원칙적 적극) / 같은 날 무면허운전 행위를 여러 차례 반복한 경우, 각 무면허운전 행위를 통틀어 포괄일죄로 처단하여야 하는지 여부(원칙적 적극)
  [2] 포괄일죄에서 공소장변경허가를 결정하는 기준"
130,도로교통법위반,2004도6955,2005. 2. 17.,도로교통법,"제50조, 제106조, 제108조","[1]           도로교통법 제50조 제1항 규정의 취지        
[2]           도로교통법 제106조의 죄로 공소제기 되었으나 운전자 등에게           같은 법 제50조 제1항에서 정한 조치를 취할 필요성이 인정되지 아니하는 경우,           같은 법 제108조의 죄로도 공소제기된 것으로 보아 이에 대하여까지 심리·판단하여야 하는지 여부(소극)"
132,도로교통법위반(음주운전)·자동차손해배상보장법위반·폭행·모욕·사기·상해·재물은닉,2021도15221,2022. 1. 13.,도로교통법,"제44조, 제148조의2","피고인의 도로교통법 위반(음주운전) 공소사실에 대하여, 원심은 피고인이 구 도로교통법 제148조의2 제1항에서 정한 ‘제44조 제1항을 2회 이상 위반한 사람’에 해당한다는 이유로 구 도로교통법 제148조의2 제1항, 제44조 제1항을 적용하여 유죄를 인정하였는데, 원심판결 선고 후 헌법재판소가 구 도로교통법 제148조의2 제1항 중 ‘제44조 제1항을 2회 이상 위반한 사람’에 관한 부분에 대하여 위헌결정을 선고한 사안에서, 위 법률조항 부분은 소급하여 효력을 상실하였으므로 해당 법조를 적용하여 기소한 피고사건은 죄가 되지 않는 경우에 해당한다고 한 사례"
133,폭력행위등처벌에관한법률위반(야간·공동상해)·공무집행방해·교통사고처리특례법위반·도로교통법위반(음주운전)·도로교통법위반(음주측정거부),2004고단232,2004. 6. 11.,도로교통법,"제41조, 제107조의2","
[1] 음주측정거부죄와 음주운전죄를 경합범으로 기소한 경우, 위드마크 공식을 사용하여 주취 정도를 계산함에 있어 그 전제사실을 인정하기 위한 입증 정도


[2] 음주운전 및 음주측정거부의 공소사실 중 음주운전의 점에 대하여 무죄를 선고한 사례"
135,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반,2006도7656,2007. 3. 29.,도로교통법,"제50조, 제54조","[1] 사고 운전자가 실제로 피해자를 구호하는 등           구 도로교통법 제50조 제1항에 의한 조치를 취할 필요가 있었다고 인정되지 아니하는 경우,           구 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 위반죄로 처벌할 수 있는지 여부(소극)        
[2]           구 도로교통법 제50조 제1항의 취지 및 사고운전자가 취하여야 할 조치의 정도"
137,도로교통법위반,94도2172,1994. 10. 7.,도로교통법,"제41조, 제107조의2","가. 도로교통법 제41조 제2항에 의한 음주측정의 법적 성질
나. 이미 발생한 도로교통법상의 범죄행위에 대한 수사를 위한 경찰관의 음주측정요구에 불응한 경우, 도로교통법 제107조의2 제2호의 음주측정불응죄가 성립하는지 여부
다. 음주측정을 요구받을 당시 운전자가 운전을 종료한 경우, 교통안전과 위험방지라는 음주측정의 필요성이 있다고 볼 것인지 여부"
139,자동차운전면허취소처분취소,95누10396,1996. 4. 12.,도로교통법,제78조,"[1]           도로교통법시행규칙 제53조 제1항 [별표 16] 운전면허행정처분기준 중 어느 항목이 상위법령에 근거가 없다는 이유만으로, 그에 따른 자동차운전면허 취소처분이 위법한지 여부(소극)        
[2] 자동차운수사업법에 의한 사용정지처분에 위반하였음을 이유로 한 자동차운전면허 취소처분이 위법한지 여부(적극)"
141,도로교통법위반,2010도7009,2010. 11. 25.,도로교통법,"제1조, 제48조, 제156조","[1] 도로교통법 제48조 위반죄의 성립 요건
[2] 피고인이 자신의 승용차를 운전하고 왕복 2차로의 도로에서 나와 직각으로 교차하는 왕복 4차로의 도로로 좌회전하여 진입하다가 그 진입방향으로 위 4차로의 도로를 따라 진행해 오던 사람의 승용차를 그 교차로 내에서 충돌한 사안에서, 도로교통법 제48조 위반죄가 성립한다고 본 원심의 조치를 수긍한 사례"
142,특정범죄가중처벌등에관한법률위반(도주차량)·도로교통법위반(사고후미조치)·도로교통법위반(음주운전),2010도1330,2010. 10. 14.,도로교통법,"제54조, 제148조","[1]           구 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 위반죄 또는           도로교통법 제148조 위반죄에서 ‘사고발생시의 조치’ 필요성 유무의 판단 기준        
[2] 사고 경위와 상해·손괴 등 피해의 정도 및 사고 후 잠깐 동안 피해차량 쪽을 응시하였다가 그대로 운전하여 가면서 ‘마음대로 해라, 어쩔 거냐’고 말한 점 등에 비추어 피고인은 미필적으로라도 위 사고의 발생 사실을 인식하였다고 보아야 하므로,           구 특정범죄 가중처벌 등에 관한 법률 제5조의3 제1항 위반죄 또는           도로교통법 제148조 위반죄에서 피해자 구호 등의 조치를 취할 필요가 있었다고 한 사례"
